Number,Image description,No text?,Text
27,"green metal, red circle, red circle, red circle, red circle",,"this is a collage of three surfaces made by two persons with two colours. All of the surfaces are very 'rough' industrial and utilitarian. the colours chosen for the frottages, while probably random, ended up suggesting a flower feild, out of the most improbable of surfaces. "
28,,,
29,Blue radials,,"Is this a map, or a trace of movement? And what would be the difference?
The energy of the movement, does it get lost after it stops?"
30,,x,
31,blue striped kind of like water,,"WOOOS- PROCESSED MATERIAL- TRUUKD - STRUCTURE & - ""FROM WALKING THROUGH THE WOODS TO WALKING ON THE WOODS"""
32,orange red spill wtih neon green edges,x,
33,bathroom signage,,One day I was on the train I asked my companion do you know which way the toilet is. I said I think they have toilets on both ends? but itsnot the case with dutch trains. You must figure out in which direction the toilets are located. It is interesting to experience confusion towards direction we may have on linear trains. 
34,blue specks and rubs,x,
35,light blue grid with pink specks,,collage requires the extraction of material from one location and its recombination with other decontextualized images objects & media. 
36,red rubs of circle in center of page,x,Its very hot outside but the hottest point is the space just between the inside & the outside.
37,purple de stijl-like structures with a cone looking building in corner,,One thursday night I / walk home I see  a bridge / a building a glass / pavillion near a intersection / the night sky casts heaviness to my eyes / I memorize this moment and / write it down now when it reckons / with this picture. 
38,pink stripe horizon ,,
39,,,
40,pink relief of some metal cover. ,,the image relief reads STRUVKVERWO-AOUWAY
41,Baby blue nuts and lines,,"How far can we travel, together, when we are unsure of the direction? What new worlds are possible when we resist the definition of a final destination? Where does cruising take us?"
42,,x,
43,,x,
44,,,
45,Mondriaan,,Could someone pass me some primary colours
46,,x,
47,,x,
48,Wrinkled green broad strokes,,"If you stay / in the bath / for too long
You will get / raisin fingers / all wrinkled
Which is something / from the / lines of aging / and the scars of / wounds.
Not all wrinkles / can be undone.
Not all maps / have a territory."
49,Purple and yellow strokes,x,
50,Yellow ring in purple ring,,Does a grid on top of a grid subvert the grid or serve to fortifty it?
51,Green cortex ,x,
52,AMSTERDAM ,,The first time I went to Amsterdam. I passed by the red light district without knowing it is the Red Light; a man who look like a bouncer for a brothel yelled at me when I passed and I yelled back at him and hurried away so  my immpression of that moment being in that district of Amsterdam became like that hom terrible these blocks of houses. 
53,sea side ribbs ,,Same place - two colors  and then a dangerous swim. 
54,Striped kitty ,,"I am a cat. I am a strip cat. I have striped on my body. When I visit the city, I come across those stripes.  On the object that are muche bigger than me. When I step myself on the streets, I see stripes. When I step myself into buldings, I see strips. I myself is a strip cat and the manmade strip casts onto me. The pictures are showing how I pose against the urban landscape. On one occasion I am orange with yellow stripes, on another occasion I am yellow with orange strips. "
55,Purple text ,x,
56,Purple splash green grid ,,"This one went swimming. it can float far quote a while. some damage done in the rescue. Paper can only float far so long until it is heavy and saturated. When the surface version breaks, it will sink. "
